first_name,last_name,birthday,gender,state,bioguide_id,opensecrets_id,party,image,title,url,address,phone,contact_form,twitter,facebook,facebook_id
Robert,Aderholt,7/22/1965,M,AL,A000055,N00003028,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Nbm5POTBjSXFzR2s,rep,http://aderholt.house.gov,2369 Rayburn HOB; Washington DC 20515-0104,202-225-4876,http://aderholt.house.gov/?sectionid=195&amp;sectiontree=195,Robert_Aderholt,RobertAderholt,19787529402
Lamar,Alexander,7/3/1940,M,TN,A000360,N00009888,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NN1dEZlNJbEpWMVU,sen,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,SenAlexander,senatorlamaralexander,89927603836
Justin,Amash,4/18/1980,M,MI,A000367,N00031938,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NU2JmRFZTQ0I4UXc,rep,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,http://amash.house.gov/contact-me/email-me,RepJustinAmash,repjustinamash,173604349345646
Kelly,Ayotte,6/27/1968,F,NH,A000368,N00030980,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NV1BjNVFqZExOVlk,sen,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,http://www.ayotte.senate.gov/?p=contact,no twitter,kellyayottenh,123436097729198
Mark,Amodei,6/12/1958,M,NV,A000369,N00031177,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Ncm4yM3RhRER0Mm8,rep,http://amodei.house.gov,222 Cannon HOB; Washington DC 20515-2802,202-225-6155,https://amodei.house.gov/contact-me,MarkAmodeiNV2,MarkAmodeiNV2,307227745970624
Spencer,Bachus,12/28/1947,M,AL,B000013,N00008091,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRnVENzZqYXhENnM,rep,http://bachus.house.gov,2246 Rayburn HOB; Washington DC 20515-0106,202-225-4921,http://www.house.gov/writerep/,BachusAL06,SpencerBachus,6769692966
Joe,Barton,9/15/1949,M,TX,B000213,N00005656,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdktCMlZZNTducjQ,rep,http://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,https://forms.house.gov/barton/webforms/zip_authen.html,RepJoeBarton,RepJoeBarton,15617630596
Xavier,Becerra,1/26/1958,M,CA,B000287,N00009774,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NbDN6N3ZGcW93OFU,rep,http://becerra.house.gov,1226 Longworth HOB; Washington DC 20515-0534,202-225-6235,https://forms.house.gov/becerra/webforms/issue_subscribe.html,RepBecerra,XavierBecerra,90311772229
Sanford,Bishop,2/4/1947,M,GA,B000490,N00002674,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdDVwSGpXVzQ1MVU,rep,http://bishop.house.gov,2429 Rayburn HOB; Washington DC 20515-1002,202-225-3631,http://bishop.house.gov/contact-me/email-me,SanfordBishop,sanfordbishop,366739521606
Earl,Blumenauer,8/16/1948,M,OR,B000574,N00007727,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NaE53cV9XWnN6M2c,rep,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,BlumenauerMedia,no facebook,no facebook
Roy,Blunt,1/10/1950,M,MO,B000575,N00005195,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NT3EwSk1SeGRXc2c,sen,http://www.blunt.senate.gov,260 Russell Senate Office Building Washington DC 20510,202-224-5721,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,RoyBlunt,SenatorBlunt,142473042477322
John,Boehner,11/17/1949,M,OH,B000589,N00003675,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQnJKY2JXYkx1em8,rep,http://boehner.house.gov,1011 Longworth HOB; Washington DC 20515-3508,202-225-6205,http://www.johnboehner.house.gov/Contact/,SpeakerBoehner,no facebook,no facebook
Barbara,Boxer,11/11/1940,F,CA,B000711,N00006692,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdGNFdzRDNC01eVE,sen,http://www.boxer.senate.gov,112 Hart Senate Office Building Washington DC 20510,202-224-3553,http://www.boxer.senate.gov/en/contact/,SenatorBoxer,senatorboxer,116513005087055
Kevin,Brady,4/11/1955,M,TX,B000755,N00005883,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NckRZZXFxVjRvRXc,rep,http://kevinbrady.house.gov,301 Cannon HOB; Washington DC 20515-4308,202-225-4901,http://kevinbrady.house.gov/contact-kevin/,RepKevinBrady,kevinbrady,9307301412
Corrine,Brown,11/11/1946,F,FL,B000911,N00002713,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NS2pLUjRDZHROZUk,rep,http://corrinebrown.house.gov,2111 Rayburn HOB; Washington DC 20515-0905,202-225-0123,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,RepCorrineBrown,congresswomanbrown,179120958813519
Sherrod,Brown,11/9/1952,M,OH,B000944,N00003535,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NY29JQnRQUkJDX3M,sen,http://www.brown.senate.gov,713 Hart Senate Office Building Washington DC 20510,202-224-2315,http://www.brown.senate.gov/contact/,SenSherrodBrown,no facebook,no facebook
Richard,Burr,11/30/1955,M,NC,B001135,N00002221,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NZzl5bGhNWFA4ZEk,sen,http://www.burr.senate.gov,217 Russell Senate Office Building Washington DC 20510,202-224-3154,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,SenatorBurr,SenatorRichardBurr,132653626787856
Robert,Brady,4/7/1945,M,PA,B001227,N00001619,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NV01vWk1DNW9CdDQ,rep,http://brady.house.gov,102 Cannon HOB; Washington DC 20515-3801,202-225-4731,http://www.brady.house.gov/contact-me/email-me,RepBrady,RepRobertBrady,118845109487
Tammy,Baldwin,2/11/1962,F,WI,B001230,N00004367,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NbldLUm9OVWFwMGs,sen,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,http://www.baldwin.senate.gov/contact,SenatorBaldwin,TammyBaldwin,7357041101
John,Boozman,12/10/1950,M,AR,B001236,N00013873,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NTWpmdF9wLTdlZU0,sen,http://www.boozman.senate.gov,320 Hart Senate Office Building Washington DC 20510,202-224-4843,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,JohnBoozman,JohnBoozman,7686715735
Timothy,Bishop,6/1/1950,M,NY,B001242,N00025413,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NQnlHa0luSzczSVU,rep,http://timbishop.house.gov,306 Cannon HOB; Washington DC 20515-3201,202-225-3826,"http://timbishop.house.gov/?sectionid=96&amp;sectiontree=7,96",TimBishopNY,RepTimBishop,7940339401
Marsha,Blackburn,6/6/1952,F,TN,B001243,N00003105,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NUDcxSHppQlk0ZU0,rep,http://blackburn.house.gov,217 Cannon HOB; Washington DC 20515-4207,202-225-2811,http://blackburn.house.gov/contactform/,MarshaBlackburn,marshablackburn,6470828395
Madeleine,Bordallo,5/31/1933,F,GU,B001245,N00024866,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NYWt3b3ZLY0RiYUE,rep,http://bordallo.house.gov,2441 Rayburn HOB; Washington DC 20515-5301,202-225-1188,http://bordallo.house.gov/contact-me,no twitter,madeleine.bordallo,161729837225622
Michael,Burgess,12/23/1950,M,TX,B001248,N00025219,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5Nd3hFakowUVhwcW8,rep,http://burgess.house.gov,2336 Rayburn HOB; Washington DC 20515-4326,202-225-7772,https://forms.house.gov/wyr/welcome.shtml,MichaelCBurgess,michaelcburgess,6916472567
Rob,Bishop,7/13/1951,M,UT,B001250,N00025292,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdWcxa1hoZWFibms,rep,http://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,http://robbishop.house.gov/ZipAuth.aspx,RepRobBishop,RepRobBishop,no facebook
George,Butterfield,4/27/1947,M,NC,B001251,N00027035,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NUkRwTWtnblFmbW8,rep,http://butterfield.house.gov,2305 Rayburn HOB; Washington DC 20515-3301,202-225-3101,https://butterfield.house.gov/email-congressman-butterfield,GKButterfield,congressmangkbutterfield,274687979233940
John,Barrow,10/31/1955,M,GA,B001252,N00026080,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NcUcxWTY4em9aOHM,rep,http://barrow.house.gov,2202 Rayburn HOB; Washington DC 20515-1012,202-225-2823,http://barrow.house.gov/contact/email-me,RepJohnBarrow,CongressmanJohnBarrow,285483767395
Charles,Boustany,2/21/1956,M,LA,B001255,N00026595,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRV90emgxTTVQQnM,rep,http://boustany.house.gov,1431 Longworth HOB; Washington DC 20515-1803,202-225-2031,https://boustanyforms.house.gov/contact-me,RepBoustany,RepBoustany,197407646951718
Michele,Bachmann,4/6/1956,F,MN,B001256,N00027493,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NUFBIcHB0RUFXekE,rep,http://bachmann.house.gov,2417 Rayburn HOB; Washington DC 20515-2306,202-225-2331,https://bachmann.house.gov/contact/email-michele,MicheleBachmann,RepMicheleBachmann,7658849357
Gus,Bilirakis,2/8/1963,M,FL,B001257,N00027462,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NaDdpYi0tM2Z0enM,rep,http://bilirakis.house.gov,2313 Rayburn HOB; Washington DC 20515-0912,202-225-5755,http://bilirakis.house.gov/index.php?option=com_content&amp;task=view&amp;id=212&amp;Itemid=44,RepGusBilirakis,GusBilirakis,135445766485586
Bruce,Braley,10/30/1957,M,IA,B001259,N00027464,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRFFudVl1ZEhkcWc,rep,http://braley.house.gov,2263 Rayburn HOB; Washington DC 20515-1501,202-225-2911,http://braley.house.gov/contact,BruceBraley,repbrucebraley,178887452188843
Vern,Buchanan,5/8/1951,M,FL,B001260,N00027626,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NXzVMY0R1NE9Sb0k,rep,http://buchanan.house.gov,2104 Rayburn HOB; Washington DC 20515-0916,202-225-5015,https://forms.house.gov/buchanan/webforms/contact-new.html,VernBuchanan,CongressmanBuchanan,67106719910
John,Barrasso,7/21/1952,M,WY,B001261,N00006236,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NVG1JSXNaUHU1NmM,sen,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,SenJohnBarrasso,johnbarrasso,21146775942
Paul,Broun,5/14/1946,M,GA,B001262,N00028986,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NaUE1azljRUZVT00,rep,http://broun.house.gov,2437 Rayburn HOB; Washington DC 20515-1010,202-225-4101,http://broun.house.gov/contact/,RepPaulBrounMD,RepPaulBroun,123908980957273
Mark,Begich,3/30/1962,M,AK,B001265,N00029901,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NdTZ3VzR2Y3JSRTg,sen,http://www.begich.senate.gov,111 Russell Senate Office Building Washington DC 20510,202-224-3004,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,SenatorBegich,Begich,121360477876652
Michael,Bennet,11/28/1964,M,CO,B001267,N00030608,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NRGVKOHh0R01pZ28,sen,http://www.bennet.senate.gov,458 Russell Senate Office Building Washington DC 20510,202-224-5852,http://www.bennet.senate.gov/contact/,SenBennetCo,senatorbennet,97172997732
Lou,Barletta,1/28/1956,M,PA,B001269,N00025495,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NaWI5NHdZVHVET3c,rep,http://barletta.house.gov,115 Cannon HOB; Washington DC 20515-3811,202-225-6511,"https://barletta.house.gov/index.cfm?sectionid=58&amp;sectiontree=2,58",RepLouBarletta,CongressmanLouBarletta,192357174108435
Karen,Bass,10/3/1953,F,CA,B001270,N00031877,Democrat,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NY0VSMXVNYVQyX28,rep,http://bass.house.gov,408 Cannon HOB; Washington DC 20515-0537,202-225-7084,http://bass.house.gov/contact-me/email-me,RepKarenBass,RepKarenBass,190867440939405
Dan,Benishek,4/20/1952,M,MI,B001271,N00031934,Republican,https://drive.google.com/uc?id=0B9oZ9Poh4Y5NR2tLYjFidkpjM2s,rep,http://benishek.house.gov,514 Cannon HOB; Washington DC 20515-2201,202-225-4735,http://benishek.house.gov/contact-me/email-me,CongressmanDan,CongressmanDan,124163654317596
